,1,2,3,4,5
0,International Republican Institute (IRI),"$260,637","To build the skills of parliamentarians in Ukraine, Moldova, and Armenia to represent their constituencies, develop policies that deliver needed reforms, and effectively communicate progress made toward addressing critical issues. The institute will conduct legislative exchanges, bringing parliamentarians from the target countries to Vilnius to learn from their counterparts in the Lithuanian Seimas (parliament) as well as follow-up exchanges that bring Seimas representatives to the partner parliaments to focus on strategic communication aimed at advancing priority reforms and increasing citizen trust.",Counter Disinformation among Vulnerable Populations in Central Europe,Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY
1,Transitions Online,"$75,000","To counter disinformation among vulnerable populations in Central Europe. The Czech organization, together with local partners in Poland, Slovakia, and Hungary, will assess the media literacy skills of senior citizens and adapt current teaching methodologies to provide more effective training programs. Following a training of trainers, it will design educational materials and conduct workshops in the targeted countries.",Creating Enabling Environments for Constructive Capital,Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY
2,Center for International Private Enterprise (CIPE),"$999,285","To enhance local stakeholders’ engagement in promoting good governance norms through anti-corruption compliance and corporate governance, address governance challenges posed by corrosive capital, and facilitate cross-regional learning. The center will engage and connect partners to create enabling environments for rule of law driven constructive capital flows into the emerging markets of the region. It will foster regional networks committed to integrity and good governance, and work with international partners to articulate and highlight the benefits of constructive capital.",Defending Democratic Institutions,Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY
3,International Republican Institute (IRI),"$800,000","To help traditional and emerging parties in EU-associated, aspirant, and new member countries in Central Europe reconnect with disaffected constituents who do not perceive them as responsive to their needs and priorities. The institute will facilitate sociological research, town hall meetings, an incubator for emerging leaders, and crossborder skills-building and best practices sharing among transatlantic-oriented political actors and think thanks. It will also explore involving institutional and emerging parties from Western Europe as supporting partners on activities targeting their Central European counterparts.",Expanding a Knowledge and Resource Hub to Fight Corruption,Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY
4,Solidarity Center (SC),"$280,000","To build the capacities of trade unions and civil society organizations in Europe, Eurasia, Africa and MENA and to advance anti-corruption efforts and promote democratic governance. The center will further develop its Ukraine-based knowledge hub and expand the Solidarity Against Corruption civil society coalition regionally and internationally in order to encourage more worker reporting on corrupt practices and improve legal protection for anti-corruption whistleblowers. It will expand the program’s platform and legal network for dialogue and information exchange between anti-corruption activists across regions.",Fostering Democratic Values in Central Europe,Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY
5,Res Publica Foundation,"$90,000","To foster regional dialogue that promotes and defends core democratic values in Central Europe. The Poland-based organization will produce articles and reports in 12 national languages that it will publish in its regional journal and media outlets across the region. The content will address issues contributing to the region’s democratic backsliding, including the shrinking space for civil society and disinformation. The organization will also identify, strengthen, and link emerging pro-democratic opinion leaders in the region by holding networking events.",Increasing the Integrity of Elections in Central and Eastern Europe,Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY
6,MEMO 98,"$80,000",To improve the integrity of elections in Central and Eastern Europe. The Slovakia-based organization will create a toolkit for monitoring social media during elections. It will conduct a training to familiarize monitoring groups with the toolkit and pilot it during the March 2019 Slovak presidential elections. Local organizations will subsequently employ the toolkit to monitor the 2019 presidential and parliamentary elections in Ukraine and the European Parliament elections in the Visegrad countries.,Monitoring China’s Influence and Its Impact on Democratic Standards,Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY
7,AcaMedia,"$89,900","To strengthen understanding of China’s growing presence overseas, and to examine its impact on democratic practices and values. The Prague-based organization will monitor, analyze and report on the case of the Czech Republic, and will strengthen collaboration with global experts and media to research, assess and raise awareness of efforts by foreign authoritarian actors to influence opinion and policy and how they affect democracy.",Promoting Democratic Discourse in Central Europe,Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY
8,Project Forum,"$53,000","To promote democratic ideas and values in Central Europe. The Slovakia-based organization will convene an international conference, including public discussions, a film screening and a cultural exhibition, in Bratislava on the 30th anniversary of the Velvet Revolution and the events of 1989. It will also organize workshops for high school teachers featuring speakers from the conference as well as a series of satellite events in regional cities in Slovakia, the Czech Republic, Poland, and Romania.",Promoting Democratic Values among Youth,Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY
9,MESA10,"$136,000","To foster the engagement of youth in bolstering democratic norms and raising awareness about foreign attempts to undermine democratic development in Central and Eastern Europe. The Slovakia-based think tank will partner with a counterpart in Serbia and universities in Bosnia and Herzegovina, Moldova, Montenegro, Serbia, and Slovakia to organize workshops, conduct debates on the role of Euro-Atlantic cooperation in promoting successful democratic transitions, and facilitate students’ policy advocacy efforts with EU institutions.",Promoting European and Transatlantic Dialogue,Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY
10,Europaisches Forum Alpbach Gemeinnutzige Privatstiftung,"$62,500",To promote dialogue and facilitate networking on democracy issues in Europe. The Austria-based organization will bring established and young civil society leaders from Central and Eastern Europe to take part in the annual Alpbach Forum. The 2019 meeting will explore the topic of “Liberty and Security” through a series of seminars across different disciplines. The organization will also gather journalists from the region for an advanced media training.,Promoting Government Accountability and Transparency,Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY
11,Fundacja ePanstwo,"$64,400","To promote government accountability and transparency through innovative technology-based tools and open data. The organization will hold its 8th annual Personal Democracy Forum in Gdansk, Poland, which brings together activists interested in using technology to enhance government accountability from Central Europe and Eurasia. It will facilitate communication between experienced and newer members of the TransparenCEE network and conduct related meetings in countries in the region.",Promoting Investigative Journalism in Central Europe,Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY
12,Foundation Reporters,"$50,000","To strengthen cooperation among and the work of investigative journalists in Central Europe. The Poland-based media outlet will continue to develop and professionalize its collaborative, crossborder investigative website, VSquare.org; produce joint investigations on Russian disinformation and malign influence in the Visegrad countries; expand its content production; extend its investigative journalists’ network to the Baltic States; and convene meetings and workshops for reporters in the region.",Promoting Investigative Journalism in Central Europe,Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY
13,Foundation Reporters,"$70,000","To strengthen cooperation among and the work of investigative journalists in Central Europe. The Poland-based media outlet will continue to develop and professionalize its collaborative crossborder investigative website, produce joint investigations on Russian disinformation and malign influence in the Visegrad countries, expand its content production, extend its investigative journalists’ network to the Baltic States, and convene meetings and workshops for reporters in the region.",Promoting Quality Russian-Language Media Content,Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY
14,Eastern Europe Studies Center,"$75,200","To produce and disseminate Russian-language content that challenges the Kremlin’s disinformation and anti-democratic narratives in the Baltic States. Working with leading media outlets, the Vilnius-based think tank will produce and distribute analytical and investigative pieces in Lithuania, Latvia, and Estonia. It will also hold a meeting for young professionals from nine countries working to combat disinformation. The think tank will convene and disseminate the results of public meetings on identifying and understanding disinformation in the media.",Promoting Understanding and Awareness of Chinese Influence in Central and Eastern Europe,Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY
