name_of_project,country,partner,grant,description
Defending Fundamental Rights in the Lunda Provinces,Angola 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Associacao Maos Livres,50000,To better protect the local population from the abuses of the extractive industries. The grantee will instruct several civil society and community leaders on basic notions of human rights and the laws governing resource extraction. The grantee will encourage citizens to denounce injustices by organizing community debates and awareness sessions. It will also provide legal aid to human rights defenders and publish a study on the negative impact of the extractive industries in the mineral-rich Lunda provinces.
Encouraging Greater Dialogue Between Elected Officials and Youth,Angola 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Friends of Angola,55577,"To bring parliamentarians closer to their constituents. The grantee will train a select group of youth leaders on how to build a climate of trust and mutual understanding and communicate their grievances effectively.Â In addition to organizing numerous reflective conversations on Angolaâ€™s socioeconomic situation, the grantee will compile a list of all parliamentarians, which it will use to plan a series of town hall meetings in the capital, as well as two other provinces."
Mobilizing Women for the Local Elections,Angola 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Plataforma Mulheres em Accao,40000,"To enhance womenâ€™s overall political participation and encourage their participation in the upcoming local elections as candidates. The grantee will mentor several women active in civil society, political parties, and the business community. In addition, the grantee will design and implement a social advocacy plan aimed at engaging various government institutions on the issue of womenâ€™s representation. The grantee will conduct an outreach campaign consisting of lectures and radio programs."
Promoting Freedom of Expression and of the Press,Angola 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Observatorio da Imprensa e da Comunicacao,38534,"To spark a national debate on freedom of expression and of the press in Angola, the grantee will organize symposiums with journalists, youth leaders, and scholars, and invite each group to publish articles, studies, and interviews on its website. In addition to broadening its audience through partnerships with four independent media outlets, the grantee will release a book on the relationship between media and democracy in Angola."
Promoting Transparency in the Management of Public Funds,Angola 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,National Counselling Centre,41015,"To strengthen civil societyâ€™s capacity to promote transparency in the management of public funds in three critical municipalities, the grantee will first hold trainings on how to monitor the execution of public budgets, and then organize forums where stakeholders will discuss their expectations about planned state-funded projects. The grantee will document progress on the execution of these projects, and sponsor a radio program on development challenges in the targeted municipalities."
"Reporting on Corruption, Human Rights Abuses, and Disregard for the Rule of Law",Angola 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Maka Angola,86000,"To enhance freedom of expression, access to information, and public discourse in Angola, the grantee will strengthen its cybersecurity, continue reporting on governance and human rights issues, and provide legal opinions on proposed reforms for the public administration. It will strive for innovation in its reporting, and expand its range of investigations to cover large-scale corruption in the public health and educations sectors."
"Contributing to the Recovery of Democracy, Stability, and Good Governance",Burundi 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Civic Education,40500,"To raise awareness and educate Burundian citizens on the upcoming 2020 elections and to conduct monitoring of democratic norms, economics statistics, and the electoral environment.Â The organization will host a large National Workshop on election issues and transparency.Â The grantee will conduct a series of town halls to engage citizens on the importance of voting and launch an advocacy campaign on related issues.Â Finally, they will host a post-election workshop to discuss the results and make recommendations for future elections."
Monitoring and Raising Awareness of Human Rights Violations,Burundi 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Human Rights,43000,"To raise awareness of the human rights situation in Burundi.Â The grantee will support its network of 18 human rights monitors in each of the provinces of Burundi.Â The monitors will write and share a series of reports with local, national, and international partners.Â It will also lead an international advocacy mission and collaborate with international institutions to address current issues in Burundi.Â Finally, it will report incidents of forced disappearances to a UN agency."
Preventing Ethnicity- Based Violence duringÂ the 2020 Elections,Burundi 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Association Bonne Semence pour le Developpment et la Paix,35000,"To prevent ethnic-based violence during the 2020 campaign, the organization will engage 40 youth leaders to promote cross-cultural understanding and prevent radicalization along ethnic lines. The grantee will host cultural events to promote a culture of peace and cohabitation amongst the different ethnic groups.Â Finally the organization will organize a campaign to promote peaceful and transparent elections and promote greater representation of women in national politics."
Promoting Human Rights and Supporting Human Rights Defenders in Exile,Burundi 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Human Rights,50000,"To promote human rights in Burundi and support civil society representatives in exile.Â The grantee will monitor and release monthly reports on human rights violations.Â The organization will also engage refugee communities and provide support to civil society representatives in exile.Â Finally, the grantee will complete advocacy missions to raise international awareness about the human rights situation in Burundi."
Strengthening Freedom of Information,Burundi 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Freedom of Information,40000,"To strengthen independent media reporting in Burundi, the organization will build the capacity of its personnel to use technology, videos, and social media to highlight issues in Burundi and of Burundian refugees. The partner will hire additional staff members to extend the coverage of its news network, to provide news reports in multiple languages, and to improve its advocacy work."
Building Civil Societyâ€™s Capacity to Improve Governance in the City of Bangui,Central African Republic 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Initiative pour la Democratie et le Developpement Durable,52340,To promote a dialogue between civil society and authorities in Bangui. The grantee will train several representatives of civil society organizations and hold exchange sessions to encourage them to work in synergy. It will convene working sessions involving national and local government officials and hold quarterly press conferences to unveil the outcome of the working sessions.
Preventing the Spread of Hate Speech and Supporting the Involvement of Youth in the Implementation of the National Recovery and Peacebuilding Plan,Central African Republic 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Association Uru,64941,"To reinforce collaboration between the government and youth and prevent the spread of hate speech. The grantee will host workshops uniting youth from diverse backgrounds against divisive hate speech. To support this initiative, the grantee will undertake a public awareness campaign, including the posting of informational posters and a yearlong radio program. The grantee will also host trainings for government officials and youth leaders to ensure that youth continue to be active and represented in civic life, governance, and the peace consolidation process."
Promoting Urban Youth Involvement in the Electoral Process,Central African Republic 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Alliance pour la Renaissance Centrafricaine,46428,"To maximize youth participation in the 2020 general elections, the grantee will train youth leaders from civil society and political parties, and then supervise an election awareness campaign that will feature neighborhood talks, sports tournaments and theatrical performances. The grantee will also run a social media page focused on stimulating the youth voter turnout and warning youths against political manipulation during the electoral period."
Enhancing Dialogue between Civil Society and Local Authorities for Accountable Governance in Moundou,Chad 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Initiative Developpement,32336,"To promote participative governance in the city of Moundou. The grantee will encourage collaboration between civil society and municipal authorities in the design, implementation, and monitoring of local development projects. The grantee will also train municipal authorities and civil society actors in designing effective development programs in line with the aspirations of the citizens. In addition to organizing conferences, debates, and focus groups between civil society and elected representatives, the organization will conduct sensitization campaigns on the importance of citizen participation and accountability."
Promoting Credible and Peaceful Elections,"Congo, Democratic Republic 2018 - NATIONAL ENDOWMENT FOR DEMOCRACY",Agir pour des Elections Transparentes et Apaisees,45330,"To strengthen civil societyâ€™s capacity to monitor preparations for the electoral process. The grantee will organize several stakeholder workshops, engage in advocacy activities, and conduct fact-finding missions in key provinces. The grantee will also implement an awareness campaign consisting of televised talk shows, a documentary, and a play on democratic alternation of power."
A Documentary to Counter Impunity,"Congo, Democratic Republic 2018 - NATIONAL ENDOWMENT FOR DEMOCRACY",Cinema for Peace and Democracy,74838,"To raise international awareness of impunity and mass atrocities in the Democratic Republic of the Congo. The grantee will produce a film depicting some of the major crises that have occurred since 2014. The film will feature images from a particularly difficult period in recent Congolese history, as well as testimonies on specific events."
Advocating for a Peaceful and Democratic Alternation of Power,"Congo, Democratic Republic 2018 - NATIONAL ENDOWMENT FOR DEMOCRACY",Political Processes,75000,To encourage the public to participate fully in the electoral process. The grantee will launch an online tool to promote civic engagement and to enhance collaboration between authorities and their constituents. The grantee will also mobilize potential voters through an electoral awareness campaign consisting of town hall meetings and free concerts in three provinces.
Advocating for Media Rights and Helping Journalism support the Democratic Process in South Kivu,"Congo, Democratic Republic 2018 - NATIONAL ENDOWMENT FOR DEMOCRACY",Journalistes pour la Promotion de la Democratie et des Droits Humains,40000,To strengthen the capacity of journalists to report objectively and safely during a tense electoral period and to promote peaceful elections in South Kivu Province. The organization will improve media practitionersâ€™ understanding of ethical and safe electoral coverage. The grantee will also promote the protection of the media by educating journalists about the Decree for the Protection of Journalists.
Building Journalistsâ€™ Capacity for Peaceful Elections,"Congo, Democratic Republic 2018 - NATIONAL ENDOWMENT FOR DEMOCRACY",Journalistes pour les Droits Humains,50000,"To build the capacity of journalists and bloggers to cover the upcoming elections successfully, the grantee will first hold a series of trainings in Kongo Central Province, and then supervise the production of special reports and short films on the electoral process. The organization will also sponsor a contest to reward aspiring journalists who have demonstrated bravery in the exercise of their profession."
Building Youthâ€™s Capacity to Promote Peace throughout the Electoral Period,"Congo, Democratic Republic 2018 - NATIONAL ENDOWMENT FOR DEMOCRACY","Actions pour la Justice, le Developpement et les Droits Humains",41031,To assist increasing conditions for youth to assemble peacefully during the electoral period in Kisangani and Bunia. The grantee will hold a series of trainings and information sessions for youth activists and police officers. It will gather representatives of both groups at roundtables where they will discuss the human rights situation and rights of citizens to assemble peacefully.
Defending Human Rights and Fundamental Freedoms,"Congo, Democratic Republic 2018 - NATIONAL ENDOWMENT FOR DEMOCRACY",Observatoire Congolais des Droits de lâ€™Homme,42021,"To defend fundamental freedoms in the Republic of the Congo. The grantee will conduct investigations into abuses, engage state authorities, and publish a human rights bulletin and comprehensive report on the countryâ€™s human rights situation. It will also lead an advocacy campaign to inform the international community about the political and human rights situation in the Republic of Congo."
Defending Press Freedom during the Electoral Process,"Congo, Democratic Republic 2018 - NATIONAL ENDOWMENT FOR DEMOCRACY",Observatoire de la Liberte de la Presse en Afrique,56263,"To defend press freedom during the electoral process. The program will investigate abuses against independent journalists, publish communiquÃ©s on its website, and monitor the trials of journalists. It will also provide free legal aid, open an emergency line for journalists at risk, convene a two-day meeting on journalism ethics, hold a workshop on access to Internet, and organize press forums on the electoral process."
"Defending the Civil, Human, and Political Rights of Persons with Disabilities","Congo, Democratic Republic 2018 - NATIONAL ENDOWMENT FOR DEMOCRACY",Federation Nationale des Associations des Personnes Vivant avec Handicap du Congo,70128,"To defend the civil, human, and political rights of persons with disabilities. The grantee will organize several advocacy meetings with relevant officials and closely monitor the governmentâ€™s compliance to international standards related to the treatment of persons with disabilities. In addition to organizing awareness symposiums for business executives, the grantee will mobilize thousands of persons with disabilities to participate in the electoral process through public conferences, town hall meetings, and radio and television programs."
Empowering Communities and Security Forces to Respect the Rule of Law in North Kivu,"Congo, Democratic Republic 2018 - NATIONAL ENDOWMENT FOR DEMOCRACY","Misere, Sors!",34100,"To promote the peaceful participation of the inhabitants of North Kivu in the resolution of the current political crisis. The grantee will facilitate a series of trainings for local young political leaders and local officials to promote democratic processes and freedom of assembly. Following the training, the group will create a network of figures from civil society, political parties, and local officials that will advocate for regular dialogues on human rights."
Engaging Youth to Support a Democratic Surge in North and South Kivu,"Congo, Democratic Republic 2018 - NATIONAL ENDOWMENT FOR DEMOCRACY",Congo Peace Network,60000,"To foster the nonviolent involvement of youth to promote the constitutionally mandated presidential alternation of power. The group will mobilize young citizens around a strategy of â€œreturning to constitutional order.â€ To strengthen the youthâ€™s commitment to democratic values, the organization will conduct a series of civic education meetings. Finally, the grantee will promote the organization of peaceful and democratic elections through an advocacy campaign entitled uchaguzi, Swahili for â€œelections.â€"
Enhancing Citizen Participation in Elections in Kinshasa and Kikwit,"Congo, Democratic Republic 2018 - NATIONAL ENDOWMENT FOR DEMOCRACY",Reseau dâ€™Education Civique au Congo,66740,"To promote good governance and maximize citizen participation in the upcoming elections. The grantee will organize town hall meetings in Kinshasa and Kwilu provinces. It will also endorse new public policies, host community assessments on governance and elections, launch a far-reaching election awareness campaign, collect information on different steps of the electoral process, and frequently engage the electoral commission and prospective candidates on issues at hand."
